Timestamp,What faculty are you in?,What genres of music do you regularly listen to? (Please select all that apply),Do you listen to music when you study?,What music streaming service do you primarily use?,Who is your favourite artist/band right now?,"What is your favourite song right now? (Please follow an ""Artist - Song Title"" format)","What is your favourite album right now? (Please follow an ""Artist - Album"" format)",Have you attended any concerts / live music events in the past year?
5/12/2023 14:47:56,Environment,"Indie, K-Pop, Rock, Vocaloid",Sometimes,Spotify,Mindless self indulgence,I hate myself because - i feel bad,Mindelss self indulgence - If,Yes
5/12/2023 14:48:34,Arts,"Hip-Hop / Rap, Pop",Sometimes,Spotify,Megan thee Stallion,Megan thee stallion - NDA,Beyonce - Renaissance,No
5/12/2023 15:04:28,Science,"Classical, Rock, Jazz",Yes,Spotify,,,,
5/12/2023 15:05:56,Engineering,"Indie, Classical, Russian post punk",Sometimes,Spotify,Molchat Doma,,Beach house - Bloom,No
5/12/2023 15:09:15,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock",Yes,Spotify,Los Campesinos!,Flight Patterns - if ur leffen then im chillindude,glass beach - the first glass beach album,Yes
5/12/2023 15:13:15,Engineering,"Hip-Hop / Rap, Pop, Indie, Rock, Lofi",Yes,Spotify,Kevin Walkman,"Atwood, Kyaru - SRT",Kevin Walkman - Thank You For Coming,No
5/12/2023 15:16:00,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock",Yes,Spotify,The Flaming Lips,Laura Les - Haunted,Kara Jackson - Why Does the Earth Give Us People to Love?,No
5/12/2023 15:16:29,Engineering,"Pop, Indie, Rock",Yes,Spotify,Glaive,ericdoa (ft. Glaive) - fantasize,Conan Gray - Kid Krow,No
5/12/2023 15:16:29,Engineering,"Pop, EDM, Rock",Yes,Spotify,Oasis,Oasis - Don’t look back in anger ,,No
5/12/2023 15:23:38,Mathematics,"Hip-Hop / Rap, Pop, Indie, K-Pop",Sometimes,Spotify,eden,aries - snake eyes,eden - icymi,Yes
5/12/2023 15:24:01,Engineering,"Hip-Hop / Rap, Pop",No,Spotify,,,,No
5/12/2023 15:28:07,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, EDM, Rock, Jazz",Yes,Spotify,Yves Tumor,Daft Punk - Infinity Repeating ,Daniel Caesar - Never Enough,Yes
5/12/2023 15:30:57,Environment,"Indie, Rock, Folk",Yes,Spotify,Samia,Samia - Big Wheel,Samia - The Baby,No
5/12/2023 15:37:36,Mathematics,"R&B, Pop, EDM, Classical, K-Pop, Piano covers",Yes,Spotify,Kep1er,Kep1er - Back to the city,Fifty Fifty - The Beginning: Cupid,Yes
5/12/2023 15:57:57,Mathematics,"Hip-Hop / Rap, K-Pop",No,Spotify,STAYC,STAYC - LOVE FOOL,Denzel Curry - Melt My Eyez See Your Future,No
5/12/2023 15:59:28,Science,"R&B, Pop, EDM",No,Spotify,,,,Yes
5/12/2023 16:03:36,Engineering,"Hip-Hop / Rap, R&B, Indie, Jazz, Funk",Sometimes,Spotify,Caamp ,Stephen Sanchez- Evangeline,,Yes
5/12/2023 16:04:24,Mathematics,"Indie, Lofi",Yes,Spotify,Dodie,Dodie - Hot Mess,Dodie - Hot Mess,Yes
5/12/2023 16:05:11,Engineering,"Classical, Jazz, Lofi",Yes,Spotify,,,,Yes
5/12/2023 16:09:33,Engineering,"Hip-Hop / Rap, Pop, Indie, EDM, Rock, IDM, Ambient, Techno, Art Pop, Art Rock, Noise Rock",Yes,Spotify,jane remover,bruiser and bicycle - 1000 engines,"Caroline Polachek - Desire, I want to turn into you",Yes
5/12/2023 16:17:52,Engineering,"Hip-Hop / Rap, EDM",Yes,Spotify,,,,No
5/12/2023 16:26:29,Mathematics,"Pop, Country, Rock",Yes,Apple Music,,,,Yes
5/12/2023 16:33:43,Arts,"Hip-Hop / Rap, R&B, Pop, Indie",Yes,Spotify,,,,Yes
5/12/2023 16:33:46,Engineering,"Pop, K-Pop",Sometimes,Spotify,,,,
5/12/2023 16:43:01,Engineering,"Classical, Rock",Sometimes,Spotify,Foo Fighters,The Police - can't stand losing you,Queen - night at the opera ,No
5/12/2023 16:43:31,Mathematics,"Pop, C-Pop",Yes,Spotify,Dodie,,,Yes
5/12/2023 16:43:35,Arts,"Hip-Hop / Rap, R&B, EDM, Jazz",Yes,Spotify,Nujabes,Daft Punk - Face to Face,Nujabes - Modal soul,No
5/12/2023 16:44:47,Mathematics,"Pop, Rock, Folk",Yes,None/CDs,The Band,The Band - Up On Cripple Creek,The Band - The Band,No
5/12/2023 16:54:21,Science,"Hip-Hop / Rap, Pop, Indie, K-Pop, Lofi",Yes,Spotify,Grandson,DWLLRS - Blue Spirits,MARINA - Electra Heart,No
5/12/2023 16:55:15,Engineering,"Hip-Hop / Rap, R&B, Pop",Yes,Spotify,,,,No
5/12/2023 17:16:10,Engineering,"Indie, Rock, Alternative",No,Apple Music,Hozier,"The strokes - Call it fate, call it karma",Boygenius - the record ,Yes
5/12/2023 17:44:13,Arts,"Hip-Hop / Rap, Pop, Country, EDM, Lofi",Yes,Spotify,Young Thug,Post Malone - Chemical,Polo G - Die a Legend,No
5/12/2023 17:44:22,Engineering,"Pop, EDM, Classical",Sometimes,Meowy player ,Egoist ,Egoist - Planetes ,,No
5/12/2023 17:55:58,Science,"Hip-Hop / Rap, Pop, EDM, Jazz, Lofi, Jpop",Sometimes,Spotify,KLOUD,Sui Uzi - Feel Me,Joji - SMITHEREENS,No
5/12/2023 18:00:36,Mathematics,Chinese,Yes,Spotify,JJ Lin,,,No
5/12/2023 18:02:23,Arts,"Hip-Hop / Rap, Pop, Indie, Classical, Rock",Sometimes,Spotify,Tame Impala,,,No
5/12/2023 18:11:16,Mathematics,metal,No,Apple Music,Obituary,,,Yes
5/12/2023 18:27:03,Engineering,"Hip-Hop / Rap, EDM, Lofi, Phonk",Yes,Spotify,,,,No
5/12/2023 18:37:00,Mathematics,"Hip-Hop / Rap, R&B, Indie",Yes,Spotify,Sonder,Logic - Wake up,Sonder - what you heard,No
5/12/2023 18:37:22,Arts,"R&B, Pop, Country, EDM, K-Pop",Yes,Spotify,NewJeans,Clinton Kane - Mexico,,No
5/12/2023 18:38:42,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Country, K-Pop, Lofi, C-Pop",Sometimes,Spotify,Lana Del Rey,Lorde - The Louvre,Lizzy McAlpine - Five Seconds Flat,No
5/12/2023 18:40:02,Arts,"Pop, Indie, EDM, Classical, K-Pop, Lofi",Sometimes,Spotify,COIN,Fiji Blue - Waves,Valley - Last Birthday ,Yes
5/12/2023 18:41:47,Mathematics,"Hip-Hop / Rap, Indie, Country, Classical, Rock",Yes,Spotify,The New Pornographers,Sleigh Bells - Crown on the Ground,Dry Cleaning - New Long Leg,Yes
5/12/2023 18:43:35,Engineering,"Indie, EDM, Classical",Yes,Spotify,Mili,Mili - Between Two Worlds,Ethan Bortnick - the last laugh,No
5/12/2023 18:49:59,Environment,"Hip-Hop / Rap, Pop, K-Pop, Mostly 2000s with some early- mid 2010s",Yes,Spotify,Rihanna,Rihanna - Don't Stop the Music,Lady Gaga - The Fame,Yes
5/12/2023 18:50:56,Science,"Hip-Hop / Rap, Indie, Rock, Jazz",Sometimes,Apple Music,Fleetwood Mac,Kendrick Lamar - Wesley’s Theory,Fleetwood Mac - Tusk,Yes
5/12/2023 18:53:06,Science,"Indie, Rock, Stuff from 80's - 90's mostly",Sometimes,Spotify,Blur,Lana Del Rey - Doin' Time ,Blur - Blur,Yes
5/12/2023 18:56:16,Science,"Indie, art pop",Sometimes,Spotify,arca,japanese breakfast - posing for cars,"Caroline Polechek - Desire, I want to turn into you",Yes
5/12/2023 18:59:34,Science,"R&B, Indie, Rock, Jazz, Lofi",Yes,YouTube Music,,,,No
5/12/2023 19:00:33,Science,"Hip-Hop / Rap, R&B, K-Pop, Krnb/Khh",Sometimes,Spotify,Tiakola,VILLAIN - NUGU,PRETTYMUCH - Phases EP,No
5/12/2023 19:15:02,Arts,"Hip-Hop / Rap, R&B, Rock, Jazz, Lofi",Yes,Spotify,Logic,Kanye West - Champion ,Logic - Under Pressure,Yes
5/12/2023 19:23:09,Engineering,"R&B, Pop, Indie, Classical, K-Pop, Lofi",Yes,Spotify,Dua Lipa,The Chainsmokers - Roses,Lorde - Melodrama,No
5/12/2023 19:30:01,Mathematics,"Hip-Hop / Rap, Pop, K-Pop",No,YouTube Music,Atrioc's Community,Atrioc's Community - Falling to the Top,Atrioc's Community - One Last Hit,No
5/12/2023 19:34:48,Engineering,"Indie, Classical, Rock, Jazz",No,Apple Music,Rachmaninoff,Kanye West - Power,Billy Joel - The Stranger,No
5/12/2023 19:38:38,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, EDM, Latino",Yes,Spotify,Omar Apollo,Omar Apollo - Killing me,Frank Ocean - Blonde,Yes
5/12/2023 19:40:15,Mathematics,"Hip-Hop / Rap, R&B, Pop, EDM",Yes,Spotify,The Weeknd,The Weeknd - Die for You,Ed Sheeran - Divide,Yes
5/12/2023 19:40:17,,,,,,,,
5/12/2023 19:44:10,Environment,"Indie, Rock, Epicore, otacore, soundtrack",Sometimes,Spotify,Project Mili,Hoyo-Mix - Wildfire,Starset - Divisions,Yes
5/12/2023 19:49:47,Mathematics,"Hip-Hop / Rap, R&B, Pop",No,Spotify,aaryan shah ,sza - Low,,No
5/12/2023 20:00:40,Arts,"R&B, Indie, Classical, Alternative ",Yes,Apple Music,Labrinth,,,Yes
5/12/2023 20:15:31,Arts,"Pop, Indie, Country",Yes,Spotify,Taylor Swift,Taylor Swift - Cruel Summer,Taylor Swift - 1989,No
5/12/2023 20:16:05,Engineering,"Pop, Rock, Emo",Sometimes,Spotify,My Chemical Romance ,Remi Wolf - Sexy Villain ,My Chemical Romance - Three Cheers for Sweet Revenge,Yes
5/12/2023 20:16:57,Mathematics,"Indie, Classical, Rock",Yes,Apple Music,Green day,,,Yes
