Timestamp,What faculty are you in?,What genres of music do you regularly listen to? (Please select all that apply),Do you listen to music when you study?,What music streaming service do you primarily use?,Who is your favourite artist/band right now?,"What is your favourite song right now? (Please follow an ""Artist - Song Title"" format)","What is your favourite album right now? (Please follow an ""Artist - Album"" format)",Have you attended any concerts / live music events in the past year?
5/10/2023 21:54:04,Mathematics,"R&B, Pop, Indie, K-Pop",Yes,Spotify,Joji,FIFTY FIFTY - Cupid,Joji - Smithereens,No
5/10/2023 21:59:31,Mathematics,"Hip-Hop / Rap, Pop, Indie, K-Pop, Rock",No,Spotify,Pink Floyd,Eagles - Hotel California,Pink Floyd - Wish You Were Here,No
5/10/2023 21:59:37,Mathematics,"Hip-Hop / Rap, Pop, EDM, K-Pop",Yes,YouTube Music,MCK,Vân rung - Gill,,Yes
5/10/2023 22:10:06,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Rock",Yes,Spotify,Polo g,Lil uzi vert - Futsal shuffle,Blink182 - Enema of the state,No
5/10/2023 22:30:48,,"Hip-Hop / Rap, R&B, Pop, Indie, K-Pop, Jazz, Lofi",Yes,Spotify,,,,Yes
5/10/2023 23:04:22,Mathematics,"Pop, Indie, EDM, Classical, Jazz, Lofi, Video Game Music",Yes,Spotify,YOASOBI,Celeina Ann - Message In the Wind,,No
5/11/2023 11:30:06,Mathematics,"Hip-Hop / Rap, R&B, Pop",Yes,Spotify,The Weeknd,Tyler the Creator - SWEET / I THOUGHT YOU WANTED TO DANCE,JID - The Forever Story,Yes
5/11/2023 14:29:57,Science,"Hip-Hop / Rap, Pop",Sometimes,Apple Music,Beyonce,Laura Branigan - Gloria,Beyonce - RENAISSANCE,Yes
5/11/2023 21:23:21,Mathematics,"Hip-Hop / Rap, Pop, Indie, EDM, Jazz, Lofi",Yes,Spotify,atarashii gakko,mokita - colorblind,atarashii gakko - ichijikikoku,No
5/11/2023 21:24:54,Engineering,"K-Pop, Lofi",Sometimes,Spotify,BTS,V/Taehyung- Sweet Night,,No
5/11/2023 21:25:26,Engineering,"Classical, Jazz",Yes,Apple Music,fox capture plan,Gecko & Tokage Parade - Run & Gun,Gecko & Tokage Parade - Heart of Tokage,No
5/11/2023 21:26:37,Arts,Indie,Yes,YouTube Music,Car Seat Headrest,Calamine - Flicker,Pepper Coyote - Muh,Yes
5/11/2023 21:27:39,Arts,"Hip-Hop / Rap, R&B, Pop, Indie, Rock",No,Spotify,,,,No
5/11/2023 21:31:41,Environment,"Hip-Hop / Rap, EDM, Rock, Jungle, garage, metal, dnb",Yes,Spotify,Bladee,Bladee - decay,Bladee - red light,Yes
5/11/2023 21:41:01,Arts,"Pop, Indie, Rock, Sea shanties",Sometimes,Spotify,Hozier,Gang of Youths - Achilles Come Down,Hozier - Eat Your Young,No
5/11/2023 21:43:35,Engineering,Pop,Yes,Spotify,Taylor Swift,Taylor Swift - Ivy,Taylor Swift - Evermore,Yes
5/11/2023 21:44:23,Mathematics,"Indie, Bedroom Pop, Indie Alt, Indie Rock",No,Spotify,Vansire ,Weston Estate - Pears,EDEN - ICYMI,Yes
5/11/2023 21:45:18,Engineering,"Hip-Hop / Rap, R&B, Indie",Yes,Spotify,"Tyler, The Creator",BETWEEN FRIENDS - Redlight,"Tyler, The Creator - CALL ME IF YOU GET LOST",No
5/11/2023 21:47:34,Mathematics,"Indie, Rock, Metal",Yes,Spotify,Between The Buried and Me,Gatherers - massalette,Architects - Holy Hell,Yes
5/11/2023 21:49:25,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock",Sometimes,Apple Music,Rush,Kendrick Lamar - m.A.A.d city,Lorde - Melodrama,
5/11/2023 21:56:44,Mathematics,K-Pop,Sometimes,YouTube Music,Red Velvet,LE SSERAFIM - No Celestial,Red Velvet - Queendom,No
5/11/2023 21:59:18,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Rock",Yes,Spotify,,,,Yes
5/11/2023 22:03:00,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Classical, Jazz, Lofi",Yes,Spotify,Mac Miller,wave to earth - calla,C418 - Minecraft Volume Alpha,Yes
5/11/2023 22:09:09,Mathematics,"Indie, EDM",Yes,Spotify,Odesza,Illenium - You Were Right,Odesza - The Last Goodbye,No
5/11/2023 22:10:03,Environment,"Hip-Hop / Rap, R&B, Pop, Indie, K-Pop",Yes,Spotify,Keshi,DPR IAN - Blueberries,Lauv - I met you when I was 18,Yes
5/11/2023 22:12:11,Engineering,"EDM, Rock, Metal, Alternative ",Yes,Apple Music,Pink Floyd,Pink Floyd - Comfortably Numb,Pink Floyd - The Wall,No
5/11/2023 22:12:42,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock, Lofi",Yes,YouTube Music,The strokes ,More like you - braver shores ,tame Impala - Currents,No
5/11/2023 22:16:32,Mathematics,"Hip-Hop / Rap, Pop, Indie, EDM, Rock",Yes,Spotify,Boards of Canada,Clams Casino - I'm God,Parannoul - After the Magic,Yes
5/11/2023 22:18:13,Mathematics,"Hip-Hop / Rap, R&B, Pop, Country, Rock, Jazz",No,Apple Music,ABBA,Bay City Rollers - Saturday Night,ABBA - Ring Ring,No
5/11/2023 22:24:37,Mathematics,"Hip-Hop / Rap, japanese",Sometimes,Spotify,J Cole,jcole - sacrifices,jcole - the off season,No
5/11/2023 22:28:33,Science,"Hip-Hop / Rap, R&B, Jazz",Yes,Spotify,Freddie Gibbs,Lil Wayne - Shooter,Freddie Gibbs and Madlib - Pinata,Yes
5/11/2023 22:38:00,Engineering,"Pop, Country, EDM",No,Spotify,Morgan Wallen,Morgan Wallen - 180,Morgan Wallen - one thing at a time ,No
5/11/2023 22:39:02,Health,"Pop, Classical, Rock",Sometimes,Spotify,,,,No
5/11/2023 22:41:53,Engineering,Rock,Sometimes,Spotify,CAKE,CAKE - Stickshifts and safety belts ,CAKE - Motorcades of generosity ,No
5/11/2023 22:57:14,Mathematics,"Hip-Hop / Rap, R&B, Indie, K-Pop",Yes,Spotify,NewJeans,NewJeans - Ditto,CHANGMO - DNSG,No
5/11/2023 22:59:05,Science,"Hip-Hop / Rap, Pop, Indie, Rock, Lofi",Yes,Spotify,The 1975,The Alcott - The national,When We Were Friends-The Backseat Lovers,Yes
5/11/2023 23:05:27,Science,"EDM, Classical",No,Spotify,Oliver Heldens,"Debris, Our Psyche - Omerta",Martin Garrix - Sentio,No
5/11/2023 23:12:40,Mathematics,"R&B, Pop, EDM, K-Pop, Rock, Musicals",Yes,Spotify,NewJeans,Hozier - Eat Your Young ,JVKE - this is what ____ feels like,No
5/11/2023 23:16:05,Mathematics,"R&B, Pop, Indie, K-Pop, Lofi",Yes,Spotify,,,,Yes
5/11/2023 23:19:47,Mathematics,"Hip-Hop / Rap, Indie, Lofi",Sometimes,Spotify,,,,Yes
5/11/2023 23:21:12,Engineering,"Hip-Hop / Rap, Pop, Indie, Classical, Rock",Yes,Apple Music,Drake,Drake - Gods Plan ,Arkelks - Leather Jacket ,Yes
5/11/2023 23:21:40,Engineering,"Lofi, Synthwave, Shoegaze, Mathrock, Dreampop, Breakcore, Drum and Bass ",Yes,Spotify,Elephant Gym, Lucid Express - Hotel 65,Candy Claws - Ceres and Calypso in the Deep Time ,No
5/11/2023 23:26:33,Mathematics,"Hip-Hop / Rap, R&B, Jazz, Lofi",Sometimes,Spotify,Rainbow Skittles Surprise ,Rainbow Skittles Surprise - It’s called: Freefall,,No
5/11/2023 23:36:42,Engineering,Punjabi,Yes,YouTube Music,Sidhu,Levels - sidhu,Never fold - sidhu,Yes
5/11/2023 23:37:43,Engineering,"Hip-Hop / Rap, Indie, Classical, Rock, Lofi, Bedroom pop",Yes,Spotify,Doja Cat,,,Yes
5/11/2023 23:38:09,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, EDM, Rock, Jazz",Yes,Download music,Black Midi,Kraftwerk - Computer Love ,Mirrord - Battles,Yes
5/11/2023 23:38:45,Mathematics,"Hip-Hop / Rap, Pop, Indie, EDM, Classical, Rock, Jazz",Sometimes,Spotify,Imagine Dragons,Tom Tykwer - Cloud Atlas Finale,Tom Tykwer - Cloud Atlas,Yes
5/11/2023 23:39:43,Science,"Pop, Rock",Yes,YouTube Music,Linkin Park,Mike Posner - I Took A Pill In Ibiza,Linkin Park - Meteora,No
5/11/2023 23:42:37,Mathematics,"Indie, Classical, Rock, Jazz",Sometimes,Spotify,Death Grips,Death Grips - Lord of the game,Death Grips - Exmilitary,No
5/11/2023 23:47:48,Mathematics,"Hip-Hop / Rap, Pop, K-Pop",Yes,Spotify,Yukika,NCT DOJAEJUNG - Strawberry Sunday,Yukika - Soul Lady,Yes
5/11/2023 23:50:23,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, EDM, Classical, Lofi",Sometimes,Spotify,Omar Apollo,Elderbrook - Back to My Bed,SZA - Ctrl,Yes
5/11/2023 23:51:51,Science,"Hip-Hop / Rap, R&B, Pop, Indie, Rock, Jazz, Lofi",Yes,Spotify,Lil Uzi Vert,Kanye West - Life of the Party,MF Doom - Madvillainy,No
5/11/2023 23:52:02,Science,"Hip-Hop / Rap, R&B, K-Pop, Krnb, khiphop",No,Spotify,J.cob,Heaven and Back - Chase Atlantic ,DEAN - 130 Mood: TRBL,No
5/11/2023 23:52:35,Mathematics,"Indie, EDM, Rock, Metal",Sometimes,Spotify,Weezer,DethTech - The joke isn't funny when ur the punchline,Weezer - Pinkerton,No
5/11/2023 23:52:41,Engineering,"Hip-Hop / Rap, R&B, Pop, K-Pop",Yes,Spotify,Newjeans ,NewJeans - Hurt,Lana Del Ray - DId you know that there's a tunnel under Ocean Blvd,No
5/11/2023 23:54:59,Mathematics,Rain sounds,No,YouTube Music,Mother nature,,,No
5/11/2023 23:56:15,Mathematics,"Hip-Hop / Rap, EDM",Sometimes,Spotify,Lil Baby,Sad Songs - Illenium,,
5/11/2023 23:57:56,Engineering,EDM,No,"dude, i aint paying for any of it, so just youtube or mp3 download",martin garrix,Calvin harris & ellie goulding Hardwell remix - Miracle,Martin garrix - Sentio,No
5/11/2023 23:59:49,Mathematics,"Pop, Indie, EDM, K-Pop, Jazz",Sometimes,Spotify,NCT,Sexy Bitch - David Guetta,,No
5/12/2023 0:00:31,Science,"Hip-Hop / Rap, R&B, K-Pop",Yes,Spotify,Drake,Taeyeon - INVU,Drake - Take Care,No
5/12/2023 0:00:48,Science,"Pop, EDM, Rock, Lofi, video game ost",Yes,Spotify,C418,Fifty Fifty - Cupid,C418 - Minecraft Volume Beta,No
5/12/2023 0:02:29,Mathematics,"Hip-Hop / Rap, R&B, Pop, EDM, Lofi",No,Spotify,The Weeknd,Keshi - Somebody,The Weeknd - After Hours,Yes
5/12/2023 0:03:11,Engineering,"K-Pop, Lofi, Anime music",No,Spotify,Twice,FIFTY FIFTY - Cupid,FIFTY FIFTY - The Beginning: Cupid,No
5/12/2023 0:03:21,Engineering,"Pop, Indie, Rock",Yes,Spotify,Red Hot Chilli Peppers,,,No
5/12/2023 0:03:26,Environment,"Hip-Hop / Rap, Indie, Classical, Rock, Jazz, Lofi",Sometimes,Spotify,Cocteau Twins ,"Leonard Bernstein - Adagio for Strings, Op.11",Cocteau Twins - Heaven or Las Vegas ,Yes
5/12/2023 0:03:45,Engineering,"Hip-Hop / Rap, R&B, Lofi",Sometimes,Apple Music,The weeknd ,The weeknd - Die for you ,Jack Harlow - Jackman,No
5/12/2023 0:06:56,Engineering,"K-Pop, Jpop",Yes,Spotify,RADWIMPS,YOASOBI - IDOL,Vaundy - strobo,Yes
5/12/2023 0:09:12,Science,"Rock, Metal",Yes,Spotify,Gojira,Jinjer - I Speak Astronomy,Gojira - L’Enfant Sauvage,Yes
5/12/2023 0:11:58,Engineering,"Pop, EDM",Sometimes,Spotify,Taylor Swift ,Taylor Swift - Would've Could've Should've ,Sasha Sloan - Only Child ,No
5/12/2023 0:15:57,Mathematics,"Hip-Hop / Rap, Pop, EDM, K-Pop, Lofi",Yes,YouTube Music,Bad Bunny,,Wide Eyed - Said The Sky,No
5/12/2023 0:17:29,Mathematics,"Hip-Hop / Rap, R&B, Pop, K-Pop, Mandopop ",Yes,Spotify,,,,Yes
5/12/2023 0:18:46,Science,"Hip-Hop / Rap, R&B, Indie, Country, Lofi",Yes,Spotify,,,,No
5/12/2023 0:19:08,Engineering,"Hip-Hop / Rap, Pop, Indie, Rock",Sometimes,Spotify,Clairo,Beabadoobee - Soren,Kanye - The Life of Pablo,Yes
5/12/2023 0:20:23,Health,"Hip-Hop / Rap, R&B, Pop, EDM, Classical, K-Pop, Rock, Lofi, Bollywood/Kollywood",Yes,Spotify,LE SSERAFIM ,BTS - DDAENG,BTS - Proof,Yes
5/12/2023 0:20:45,Engineering,"Classical, Rock",Sometimes,Pirated music,Fall Out Boy,TK from Ling Tosite Sigure - film A moment,supercell - Zigaexperientia,Yes
5/12/2023 0:20:58,Science,Power Metal,Yes,Spotify,Gloryhammer,Gloryhammer - Keeper of the Celestial Flame of Abernethy,Ascension - Under the Veil of Madness,No
5/12/2023 0:21:37,Mathematics,"Hip-Hop / Rap, R&B, EDM",Sometimes,Apple Music,Frank ocean,Mayonnaise- smashing pumpkins ,Radiohead - OK Computer,Yes
5/12/2023 0:24:16,Engineering,"R&B, Pop, Indie, Classical, Jazz, Afrobeats",Sometimes,Apple Music,Hozier,Olamide - Rock,,Yes
5/12/2023 0:24:48,Science,"Pop, Indie, Rock, Jazz, Lofi",Yes,Spotify,Taylor Swift,,,Yes
5/12/2023 0:26:04,Engineering,"Hip-Hop / Rap, Rock",No,,JPEGMAFIA,JPEGMAFIA - Garbage Pale Kids,JPEGMAFIA - SCARING THE HOES,Yes
5/12/2023 0:27:38,Mathematics,"Hip-Hop / Rap, Pop",Sometimes,Spotify,Ed Sheeran,Ed Sheeran - A team,Ed Sheeran - Divide,No
5/12/2023 0:27:47,Engineering,Classical,,Tidal,Richard Strauss,Richard Strauss - Eine Alpensinfonie,,Yes
5/12/2023 0:27:58,Science,"Hip-Hop / Rap, Indie, EDM, Rock, Lofi",Sometimes,Spotify,Rustage,Daddyphatsnaps - DEATH,Rustage - overflow,No
5/12/2023 0:29:17,Science,"Pop, K-Pop",Yes,Spotify,bts,jisso - flower,bts - the most beautiful moment in life,No
5/12/2023 0:29:28,Science,"Hip-Hop / Rap, Pop, EDM, Video game BGM",Yes,YouTube Music,William black,dreamr - Break My Heart,,No
5/12/2023 0:30:42,Engineering,"EDM, Classical, J-Pop",Yes,YouTube ,Lucas Ricciotti,Tobu - Sunburst,,Yes
5/12/2023 0:35:45,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, EDM, Rock",Yes,YouTube Music,J. Cole,Bas & J. Cole - Tribe,Metro Boomin - HEROES & VILLAINS,Yes
5/12/2023 0:37:24,Mathematics,"Hip-Hop / Rap, R&B, Pop, K-Pop",Yes,Spotify,Fivio Foreign,Aespa - Spicy,Le Sserafim - Unforgiven,Yes
5/12/2023 0:37:50,Mathematics,"EDM, Rock, Lofi",Sometimes,Spotify,Weezer,,Weezer - Pinkerton,No
5/12/2023 0:39:04,Mathematics,"Hip-Hop / Rap, R&B, Pop, Country, Lofi",Yes,Spotify,Boogie wit da hoodie,Playboi Carti - place,,Yes
5/12/2023 0:43:11,Mathematics,"Hip-Hop / Rap, R&B, Rock, Lofi",Yes,Spotify,The Weeknd,Natori - Overdose,The Weeknd - After Hours,Yes
5/12/2023 0:45:05,Mathematics,"Indie, Rock",Sometimes,Apple Music,Lorna Shore,Mental Cruelty - Forgotten Kings,Lorna Shore - Immortal ,Yes
5/12/2023 0:45:13,Mathematics,Rock,Yes,Spotify,Billy Joel,Genesis - That's All ,,No
5/12/2023 0:45:34,Mathematics,"Hip-Hop / Rap, EDM, K-Pop, J-Pop",No,Spotify,Dareharu,FELT - Summer Fever,Epik High - Strawberry,No
5/12/2023 0:47:19,Mathematics,"Hip-Hop / Rap, R&B, Pop, Country, Classical, K-Pop",Yes,YouTube Music,fromis_9,fromis_9 - love bomb,iz*one - bloom*iz,Yes
5/12/2023 0:48:26,Mathematics,"Hip-Hop / Rap, Pop, Indie, K-Pop",Yes,Spotify,Hozier,Gang of Youths - Achilles Come Down,Hozier - Hozier,No
5/12/2023 0:48:40,Arts,"Hip-Hop / Rap, Pop, EDM, K-Pop, Lofi, J-Pop",Yes,Spotify,Neovaii,Neovaii - Breathe ,BTS - Love yourself ,No
5/12/2023 0:56:56,Engineering,"Hip-Hop / Rap, R&B, Pop, Indie, Classical",Yes,Spotify,Kid Cudi,,,Yes
5/12/2023 1:01:47,Environment,"Hip-Hop / Rap, Pop, Indie, EDM, K-Pop, Rock, vocaloid, breakcore, glitchcore, heavy metal, hyperpop, j-rock",Sometimes,Spotify,Loli In Early 20s,DJ GYROTTA ZAO - VALERIA BOUNZE,Loli In Early 20s - Quite odd fodder?,No
5/12/2023 1:11:33,Health,"Pop, Indie, Lofi",Sometimes,Spotify,88rising,NIKI - lowkey,Keshi - GABRIEL,No
5/12/2023 1:13:33,Mathematics,"Pop, K-Pop, Soundtracks, instrumentals",Sometimes,Spotify,Angèle,Lorde - Buzzcut Season,Lorde - Pure Heroine,No
5/12/2023 1:14:13,Science,K-Pop,Yes,YouTube Music,Dreamcatcher,Ive - I am,Dreamcatcher - The Tree of Language,No
5/12/2023 1:16:25,Engineering,"EDM, Rock, Jazz, Lofi",Yes,Spotify,,,,No
5/12/2023 1:16:36,Arts,"Pop, K-Pop",Sometimes,Spotify,Red Velvet,NewJeans - OMG,Le Sserafim - Unforgiven,Yes
5/12/2023 1:17:41,Engineering,"Hip-Hop / Rap, K-Pop",Yes,Spotify,Lesserafim,Joji - Like You Do,Playboi Carti - Whole Lotta Red,Yes
5/12/2023 1:17:55,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock",Sometimes,Spotify,Radiohead,M83 - Midnight City,Carrie and Lowell,No
5/12/2023 1:18:06,Engineering,K-Pop,Sometimes,Spotify,,,,No
5/12/2023 1:19:34,Engineering,"Indie, Country, Rock, Jazz, Metal, j-pop, punk",Yes,Spotify,YOASOBI,The Mowgli'ms - San Francisco ,Aether Realm - Tarot,Yes
5/12/2023 1:21:12,Engineering,"Hip-Hop / Rap, Pop, Indie, Classical, K-Pop, Rock, Jazz, Lofi",Yes,Spotify,Mili,Feather - Nujabes,Mili - To kill a living book,No
5/12/2023 1:21:41,Engineering,"Indie, EDM, Rock",Yes,Spotify,Hybrid Minds,BruC - Clart ,"Arctic Monkeys - Whatever people say I am, that’s what I’m not ",Yes
5/12/2023 1:24:44,Mathematics,"Pop, EDM, Classical, K-Pop",Sometimes,Spotify,,,,Yes
5/12/2023 1:30:33,Engineering,"R&B, Pop, Lofi",Sometimes,Apple Music,,,,No
5/12/2023 1:31:09,Arts,EDM,Yes,Spotify,Pixel Terror,Pixel Terror x Teminite x Chime - Sleepless,,No
5/12/2023 1:31:55,Mathematics,"Pop, Rock, Punk, Folk",Yes,Spotify,Fall Out Boy,Fall Out Boy - Headfirst Slide into Cooperstown on a Bad Bet,Fall Out Boy - So Much (For) Stardust,No
5/12/2023 1:35:34,Arts,"Hip-Hop / Rap, R&B, Indie, K-Pop",Yes,Spotify,BTS,Kyle Dion - I Could Be Your Girlfriend,Jordan Ward - FORWARD,No
5/12/2023 1:35:59,Science,"Pop, Indie, Rock, synth pop, folk",No,Spotify,big thief,Big Thief - Forgotten Eyes,Alex Cameron - Forced Witness,No
5/12/2023 1:36:46,Mathematics,"Hip-Hop / Rap, R&B, Indie, Rock, Jazz",Yes,Spotify,Syrup16g,,Syrup16g - HELL-SEE,No
5/12/2023 1:37:38,Mathematics,"Hip-Hop / Rap, R&B, Pop, Soundtracks/TV & Film Scores",Yes,Spotify,Lana Del Rey,Jorja Smith - Try Me,Lana Del Rey - Did you know that there’s a tunnel under Ocean Blvd?,Yes
5/12/2023 1:45:14,Science,"Rock, Lofi, Metal",Yes,Spotify,Wage War,wage War - Manic,Blind Guardian - Nightfall in Middle Earth,Yes
5/12/2023 1:48:54,Mathematics,"Hip-Hop / Rap, R&B, Indie, EDM, Rock, Jazz, Lofi",Yes,Spotify,Metro boomin,Weston estate - Where do we go ,Metro boomin - heroes and villains ,Yes
5/12/2023 1:49:37,Engineering,"Pop, Jazz",Yes,Pirate,Joker Xue,Joker Xue - Actor,,Yes
5/12/2023 1:52:26,Engineering,"R&B, EDM, Jazz, Thrash, Death Metal, Melodeath, NWOBHM, Neue Deutsche Härte, Power Metal, Folk Metal, Metalcore, Electronicore, Djent",Yes,None,Iron Maiden,Death Angel - Humanicide,Megadeth - Countdown to Extinction,No
5/12/2023 1:53:06,Mathematics,"Rock, Metal",Sometimes,Spotify,Metallica,,Queen - a night at the opera,Yes
5/12/2023 1:55:13,Mathematics,"Pop, Indie, Rock",Yes,Spotify,Nanna,Of Monsters and Men - Empire,Nanna - How To Start A Garden,No
5/12/2023 1:59:34,Health,"Pop, Classical",Yes,Spotify,,,,No
5/12/2023 2:07:47,Mathematics,J-pop,Yes,Spotify,Yorushika,,,No
5/12/2023 2:09:19,Mathematics,"Pop, K-Pop",Sometimes,YouTube Music,Jukjae,Jukjae - Do you want to walk with me,Taylor Swift - Lover,No
5/12/2023 2:23:54,Engineering,"Hip-Hop / Rap, R&B, Pop, K-Pop, Lofi",Yes,Apple Music,Kanye West,Drake - Ice Melts,Frank Ocean - Blonde,No
5/12/2023 2:26:17,Science,"Indie, Rock, Punk and Metal",No,"i dont, mp3s and ripped cds",screaming females,The Tragically Hip - Nautical Disaster,Screaming Females - Desire Pathway,Yes
5/12/2023 2:30:17,Mathematics,"K-Pop, J-pop, AniMusic",Yes,Spotify,Aimer,tota - tsumugu,,No
5/12/2023 2:33:25,Mathematics,Indie,Yes,Spotify,John Frusciante,John Frusciante - My Smile is Rifle,John Frusciante - Niandra Lades and Usually Just a T-shirt,Yes
5/12/2023 2:34:15,Arts,"K-Pop, Rock, Meta",Yes,Spotify,August Burns Red,Loathe- A Sad Cartoon,Have A Nice Life - Deathconsciousness,Yes
5/12/2023 2:35:22,Arts,"EDM, Classical, K-Pop, Lofi",Yes,Spotify,,,,No
5/12/2023 2:43:04,Arts,"Hip-Hop / Rap, Pop, Indie, K-Pop, Rock, Jazz",Sometimes,Spotify,MF DOOM,Flycatcher - Games,Cigarettes After Sex - Cigarettes After Sex ,No
5/12/2023 2:59:00,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, Classical, Rock, Jazz",Sometimes,Spotify,Radiohead,Radiohead - Jigsaw Falling into Place,Radiohead - In Rainbows,Yes
5/12/2023 3:02:37,Engineering,"R&B, Pop, Indie, Jazz, Lofi",Yes,Spotify,Jon Bellion,edbl - Cigars,Jon Bellion - The Human Condition,No
5/12/2023 3:03:20,Engineering,"Hip-Hop / Rap, R&B, Pop, K-Pop",Yes,Spotify,newjeans,brb - honeymoon,,No
5/12/2023 3:07:04,Environment,"Pop, Indie, EDM, Rock",Sometimes,Spotify,Lana Del Rey,isaac winemiller - too good to be true,SZA - SOS,Yes
5/12/2023 3:18:38,Mathematics,"Hip-Hop / Rap, R&B, Pop",Yes,Spotify,The Weeknd,The Weeknd - Gasoline,The Weeknd - Dawn FM,Yes
5/12/2023 3:27:08,Mathematics,"Hip-Hop / Rap, Pop, Indie, Rock, Jazz",Yes,Spotify,The Strokes,Gustavo Cerati - Tabu ,Bjork - Post,No
5/12/2023 3:53:08,Mathematics,Video game ost,Sometimes,Youtube,,,,No
5/12/2023 3:56:25,Mathematics,"Pop, Indie, Rock",Sometimes,Spotify,Foo Fighters ,Foo Fighters - Everlong,,No
5/12/2023 3:57:45,Science,"Hip-Hop / Rap, R&B",Sometimes,Spotify,Giveon,Daniel Caesar and Summer Walker - Always,Giveon - Give or Take,No
5/12/2023 4:04:09,Engineering,"Hip-Hop / Rap, R&B, Rock, Jazz",Yes,I store music locally lmao,The Strokes,Vince Staples - The Blues,Fontaines D.C. - Skinty Fia,No
5/12/2023 4:05:07,Mathematics,"Classical, Rock, Metal",Sometimes,Spotify,Motley cruie,Yes - Roundabout ,,No
5/12/2023 4:30:28,Mathematics,"Hip-Hop / Rap, R&B",No,Spotify,Yeat,Yeat - Sum 2 do,Travis Scott - astroworld,No
5/12/2023 4:31:44,Environment,"Pop, Indie, EDM, Rock, Lofi",Yes,Spotify,Daft Punk,,Daft Punk - Random Access Memories,No
5/12/2023 4:40:18,Health,"Hip-Hop / Rap, R&B, Pop, Indie",Yes,Spotify,Pink Pantheress,Metro Boomin and Travis Scott - Trance,Pink Pantheress - to hell with it,Yes
5/12/2023 4:40:38,Engineering,Soundtrack ,Sometimes,Spotify,,,,No
5/12/2023 4:46:42,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie, EDM, Classical, Rock",Sometimes,Spotify,Carly Rae Jepsen,"Kendrick Lamar - Sing About Me, I’m Dying Of Thirst",Nas - Illmatic,No
5/12/2023 4:48:16,Science,"Classical, Folk",Yes,YouTube Music,Colm mcGuinness,Ed Sheeran - I see fire,Faun - Renaissance,No
5/12/2023 5:09:31,Mathematics,"K-Pop, jpop",Sometimes,Spotify,Ive,,,No
5/12/2023 5:51:46,Arts,"R&B, Indie, Classical",Yes,Spotify,Glass Animals,Glass Animals - Exxus,Lovejoy - Wake Up & Its Over,No
5/12/2023 5:53:04,Science,"Hip-Hop / Rap, R&B, Pop, Indie, Rock, Lofi",Yes,Spotify,The 1975,Lorde - California,The 1975 - Being Funny In A Foreign Language,Yes
5/12/2023 6:06:21,Arts,"Pop, Indie",Yes,Spotify,Declan McKenna ,Sarah and the Sundays - Ruby Fields ,George Ezra - Wanted on a Voyage ,Yes
5/12/2023 6:16:05,Engineering,"R&B, Pop, Indie, Country, Rock",Yes,Spotify,Arctic Monkeys,Arctic Monkeys - Mardy Bum,"Arctic Monkeys - Whatever people say I am, that's what I'm not",No
5/12/2023 6:16:15,Science,"Pop, EDM",Yes,Spotify,,,,No
5/12/2023 6:25:15,Mathematics,"Hip-Hop / Rap, R&B, Pop, Classical, Lofi, Bedroom Pop",Sometimes,Spotify,NIKI,NIKI - Backburner,NIKI - Nicole,Yes
5/12/2023 6:29:06,Engineering,"Indie, Rock",Sometimes,YouTube Music,Bob dylan,Alabama shakes - i found you,The Beatles - Abbey road,Yes
5/12/2023 6:32:51,Mathematics,"Pop, Indie, Rock, Metal",Yes,Spotify,Oingo Boingo,Oingo Boingo - Private Life,System of a Down - Toxicity,Yes
5/12/2023 6:46:55,Engineering,"Pop, Indie, EDM, Lofi",Yes,Spotify,EDEN,EDEN - Call Me Back,Porter Robinson - Nurture,Yes
5/12/2023 6:48:26,Mathematics,"Hip-Hop / Rap, R&B, Pop, K-Pop, J-Pop",Sometimes,Spotify,Kenshi Yonezu,Kenshi Yonezu - Lemon,Kenshi Yonezu - BOOTLEG,No
5/12/2023 6:48:59,Mathematics,"Hip-Hop / Rap, R&B, Pop, Indie",Sometimes,Spotify,Frank Ocean,Frank Ocean - Swim Good,Blond - Frank Ocean,No
5/12/2023 6:49:57,Engineering,"R&B, EDM, Lofi",Yes,YouTube Music,Keshi,Keshi - 2 Soon,Calvin Harris - Motion,No
5/12/2023 7:06:08,Arts,"Pop, K-Pop, Lofi, J-Pop",Yes,Spotify,Yoasobi,Yoasobi - Idol,,No
5/12/2023 7:07:40,Arts,"R&B, Pop, Country, Classical, K-Pop, Rock, Jazz",Sometimes,Spotify,,,,No
5/12/2023 7:23:25,Engineering,"Pop, Indie, Rock",Sometimes,Spotify,Ed sheeran,Fun. - carry on,Ed sheeran - divide,No
5/12/2023 7:24:48,Engineering,"Pop, Indie, Rock",Yes,Spotify,Phoebe Bridgers ,Phoebe Bridgers - Graceland Too,Taylor Swift - Evermore,No
